Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Mercedes-Benz,Gla Class,6.0,60000,Automatic,second,Diesel,38.11713050320288,10000.0,2026,11
Kia,Carens,1.0,24000,Manual,first,Petrol,35.81459397796516,24000.0,2026,11
Toyota,Innova,13.0,100231,Manual,second,Diesel,35.87690070496917,7710.0,2026,11
Maruti Suzuki,Ignis,1.0,13000,Manual,second,Petrol,38.117179037427036,13000.0,2026,11
Hyundai,Grand I10,7.0,47000,Manual,first,Petrol,38.11891549673862,6714.0,2026,11
Hyundai,Getz Prime,17.0,115031,Manual,second,Petrol,38.118868813343774,6767.0,2026,11
Maruti Suzuki,Swift,10.0,67000,Manual,first,Petrol,35.81268824656323,6700.0,2026,11
Hyundai,Xcent,8.0,74500,Manual,first,Diesel,38.1171790364354,9312.0,2026,11
Honda,City,8.0,93000,Automatic,second,Petrol,35.876855103472344,11625.0,2026,11
Maruti Suzuki,Ritz,9.0,59000,Manual,first,Petrol,35.87848849123604,6556.0,2026,11
Toyota,Innova Crysta,7.0,168500,Automatic,second,Diesel,35.81454676529885,24071.0,2026,11
Hyundai,Verna,2.0,69000,Automatic,first,Diesel,38.1171790364354,25624.5,2026,11
Hyundai,Creta,9.0,76000,Automatic,second,Diesel,35.87685510347305,8444.0,2026,11
Kia,Sonet,4.0,34500,Automatic,first,Petrol,35.87685510245005,8625.0,2026,11
Ford,Ecosport,8.0,130000,Manual,second,Diesel,38.117180307522666,16250.0,2026,11
Mercedes-Benz,Glc Coupe,2.0,20000,Automatic,first,Diesel,35.816284955916885,10000.0,2026,11
Mahindra,Scorpio-N,1.0,15905,Automatic,first,Diesel,35.7461658017031,15905.0,2026,11
Toyota,Innova Crysta,3.0,21000,Manual,first,Diesel,38.11717899957833,7000.0,2026,11
Mini,Cooper 3 Door,5.0,13000,Automatic,first,Petrol,35.816284955916885,2600.0,2026,11
Maruti Suzuki,Ertiga,9.0,75000,Manual,first,Diesel,38.1171790364354,8333.0,2026,11
Volkswagen,Polo,12.0,80000,Manual,second,Diesel,35.81628368579639,6667.0,2026,11
Maruti Suzuki,Wagon-R,8.0,50000,Manual,first,Petrol,35.748093742917305,6250.0,2026,9
Tata,Nexon,2.0,40000,Automatic,second,Petrol,35.87848721736374,20000.0,2026,11
Maruti Suzuki,Ritz,11.0,87000,Manual,first,Diesel,33.512010155698235,7909.0,2026,10
Toyota,Etios,9.0,155000,Manual,second,Diesel,33.513698591839116,17222.0,2026,11
Volkswagen,Crosspolo,10.0,80000,Manual,second,Diesel,38.1171790364354,8000.0,2026,11
Maruti Suzuki,Wagon-R,10.0,84000,Manual,second,Petrol,35.74809515071818,8400.0,2026,10
Volkswagen,Polo,3.0,18000,Automatic,first,Petrol,35.87685510247967,6000.0,2026,11
Maruti Suzuki,Baleno,7.0,47000,Automatic,first,Petrol,35.876855103472344,6714.0,2026,10
Volkswagen,Vento,13.0,168500,Manual,first,Diesel,38.1171790364354,12962.0,2026,11
Maruti Suzuki,Alto-K10,13.0,82000,Manual,first,Petrol,33.513698553920015,6308.0,2026,11
Maruti Suzuki,Celerio,9.0,35000,Automatic,first,Petrol,38.1171790364354,3889.0,2026,11
Renault,Duster,9.0,150000,Automatic,second,Diesel,35.81454541020884,16667.0,2026,11
Toyota,Fortuner,12.0,132000,Manual,first,Diesel,35.814593978930326,11000.0,2026,10
Land Rover,Range Rover Evoque,7.0,130000,Automatic,second,Petrol,35.816284955916885,18571.0,2026,11
Maruti Suzuki,Ertiga,4.0,59000,Automatic,first,Petrol,35.81632924467523,14750.0,2026,11
Tata,Nexon,6.0,95000,Automatic,second,Petrol,35.876855103472344,15833.0,2026,11
Tata,Indigo Ecs,8.0,115000,Manual,second,Diesel,38.1189143035073,14375.0,2026,11
Mahindra,Thar,2.0,110000,Manual,first,Diesel,35.81459394344136,25624.5,2026,11
Toyota,Camry,9.0,68000,Automatic,second,Petrol,33.44551005772415,7556.0,2026,11
Skoda,Kushaq,3.0,74000,Automatic,first,Petrol,38.117130502175876,24667.0,2026,11
Maruti Suzuki,Ritz,12.0,88000,Manual,first,Petrol,33.512010155698235,7333.0,2026,11
Hyundai,Grand I10,10.0,47000,Automatic,second,Petrol,35.87685373963976,4700.0,2026,11
Mahindra,Bolero,9.0,16,Manual,first,Diesel,38.11702303029633,2.0,2026,11
Honda,Brio,12.0,68000,Manual,first,Petrol,35.878488422229225,5667.0,2026,11
Honda,City Zx,17.0,115000,Manual,second,Petrol,35.74809515071818,6765.0,2026,10
Hyundai,I10,13.0,50000,Manual,second,Petrol,35.74989937059981,3846.0,2026,11
Honda,Wrv,7.0,98000,Manual,first,Diesel,35.81632924380336,14000.0,2026,11
Land Rover,Discovery Sport,5.0,62000,Automatic,first,Diesel,35.816284955916885,12400.0,2026,11
Tata,Harrier,5.0,67000,Manual,second,Diesel,35.87685510247967,13400.0,2026,11
Tata,Zest,9.0,69000,Manual,second,Petrol,38.179440195474484,7667.0,2026,11
Maruti Suzuki,Eeco,3.0,49000,Manual,first,Petrol,35.81449359337205,16333.0,2026,10
Maruti Suzuki,Swift-Dzire,11.0,162000,Manual,second,Diesel,38.11702303029633,14727.0,2026,11
Toyota,Fortuner,6.0,86000,Manual,first,Diesel,35.816284955916885,14333.0,2026,11
Hyundai,Creta,1.0,35000,Automatic,first,Diesel,33.57590456018824,25624.5,2026,11
Maruti Suzuki,Wagon-R,10.0,38000,Manual,first,Petrol,31.211113498871963,3800.0,2026,11
Hyundai,Creta,4.0,105000,Manual,first,Diesel,35.81628372034903,25624.5,2026,11
Toyota,28 Legender 4X2,2.0,25500,Automatic,first,Diesel,35.816284955916885,12750.0,2026,11
Maruti Suzuki,Swift Dzire,9.0,168500,Manual,first,Petrol,35.81454541020884,18722.0,2026,11
Volkswagen,Ventotest,8.0,78000,Automatic,first,Petrol,35.81454396127045,9750.0,2026,11
Toyota,Innova,17.5,168500,Manual,first,Diesel,35.87848849123604,9629.0,2026,11
Hyundai,Creta,6.0,66000,Automatic,second,Petrol,35.876856375798845,11000.0,2026,10
Toyota,Innova Crysta,8.0,75000,Manual,first,Diesel,35.8162836848036,9375.0,2026,11
Maruti Suzuki,Vitara-Brezza,6.0,85600,Manual,first,Diesel,35.87680774206788,14267.0,2026,11
Maruti Suzuki,Ertiga,12.0,155000,Manual,second,Diesel,35.87685510347305,12917.0,2026,11
Hyundai,I10,14.0,46000,Manual,second,Petrol,38.175824269495834,3286.0,2026,11
Maruti Suzuki,Ciaz,9.0,68000,Manual,first,Petrol,38.17944023099832,7556.0,2026,11
Ford,Ecosport,6.0,73000,Automatic,first,Petrol,35.81459258549993,12167.0,2026,11
Honda,City,13.0,74000,Automatic,second,Petrol,35.74809374183052,5692.0,2026,11
Maruti Suzuki,Swift,6.0,65000,Automatic,second,Petrol,35.81459258549993,10833.0,2026,11
Audi,A4,3.0,50000,Automatic,first,Petrol,35.816284955916885,16667.0,2026,11
Honda,City,10.0,61000,Automatic,first,Petrol,35.87848849027855,6100.0,2026,11
Maruti Suzuki,Swift,17.5,98000,Manual,second,Petrol,38.11886877881816,5600.0,2026,11
Mahindra,Xuv500,7.0,76000,Automatic,second,Diesel,35.81454540915234,10857.0,2026,11
Mahindra,Xuv500,8.0,89100,Manual,second,Diesel,35.81454540915234,11138.0,2026,11
Volkswagen,Polo,6.0,73961,Automatic,second,Petrol,35.87685510245005,12327.0,2026,11
Ford,Endeavour,5.0,60000,Automatic,first,Diesel,35.816284955916885,12000.0,2026,11
Mahindra,Thar,6.0,46850,Manual,second,Diesel,35.81459258656171,7808.0,2026,11
Mahindra,Thar,1.0,168500,Automatic,first,Diesel,35.81628492035251,25624.5,2026,11
Mahindra,Xuv500,11.0,99000,Manual,second,Diesel,33.511960316126746,9000.0,2026,11
Maruti Suzuki,Sx4,15.0,56328,Manual,first,Petrol,35.74809515071818,3755.0,2026,11
Audi,A3,9.0,42000,Automatic,second,Diesel,35.81628372034903,4667.0,2026,11
Hyundai,Creta,6.0,168500,Manual,first,Diesel,35.87685637670324,25624.5,2026,11
Mercedes-Benz,C-Class,11.0,78000,Automatic,second,Petrol,35.81449355282728,7091.0,2026,11
Toyota,Innova Crysta,2.0,31000,Automatic,first,Diesel,35.816284955916885,15500.0,2026,11
Skoda,Kodiaq,4.0,57000,Automatic,first,Diesel,35.816284955916885,14250.0,2026,11
Ford,Endeavour,7.0,70000,Automatic,second,Diesel,35.816284955916885,10000.0,2026,10
Honda,City,8.0,93000,Automatic,second,Petrol,35.876855103472344,11625.0,2026,11
Hyundai,Eon,10.0,41453,Manual,second,Petrol,35.816329210539166,4145.0,2026,11
Tata,Altroz,3.0,33000,Manual,first,Petrol,35.81454540915233,11000.0,2026,11
Maruti Suzuki,Celerio,6.0,37000,Automatic,second,Petrol,35.87690070496924,6167.0,2026,11
Volkswagen,Polo,9.0,65000,Manual,first,Petrol,35.74809374183052,7222.0,2026,11
Hyundai,Grand I10 Nios,2.0,36000,Automatic,first,Petrol,35.81454540802352,18000.0,2026,11
Toyota,Camry,8.0,130000,Automatic,second,Petrol,35.87690070499591,16250.0,2026,10
Maruti Suzuki,Alto-800,11.0,100000,Manual,second,Petrol,38.11886877881816,9091.0,2026,11
BMW,X1,8.0,168500,Automatic,first,Diesel,38.117177678524484,21062.0,2026,11
Hyundai,Creta,5.0,48000,Manual,first,Diesel,35.81268824662856,9600.0,2026,11
BMW,X5,8.0,63000,Automatic,second,Diesel,35.87685513805805,7875.0,2026,11
Hyundai,I20,9.0,168500,Manual,second,Diesel,35.81454544701734,18722.0,2026,11
Skoda,Rapid,7.0,70000,Automatic,first,Diesel,35.87680774206788,10000.0,2026,11
Hyundai,Verna,11.0,59000,Manual,second,Petrol,38.1171790364354,5364.0,2026,11
Mahindra,Tuv,9.0,72000,Automatic,second,Diesel,38.11702303029633,8000.0,2026,11
Mercedes-Benz,E-Class,12.0,74000,Automatic,second,Diesel,35.81628368377438,6167.0,2026,11
Honda,City,6.0,78127,Manual,first,Diesel,35.81454540918183,13021.0,2026,11
Maruti Suzuki,Ciaz,4.0,26000,Manual,first,Petrol,35.814546765298125,6500.0,2026,11
Renault,Kwid,7.0,65663,Automatic,second,Petrol,33.57431433499658,9380.0,2026,11
BMW,5 Series,6.0,24000,Automatic,first,Petrol,35.816284955916885,4000.0,2026,11
Toyota,Fortuner,9.0,160000,Automatic,second,Diesel,38.1171790364354,17778.0,2026,11
Volkswagen,Polo,4.0,168500,Manual,second,Petrol,35.81449355395853,25624.5,2026,11
Maruti Suzuki,Baleno,6.0,31000,Manual,first,Petrol,35.81454544701811,5167.0,2026,11
Hyundai,Creta,5.0,55000,Automatic,first,Diesel,35.87685510141982,11000.0,2026,11
Maruti Suzuki,Swift Dzire,9.0,168500,Manual,second,Diesel,35.81454540918183,18722.0,2026,11
Hyundai,Alcazar,2.0,37000,Automatic,first,Diesel,33.51196031618777,18500.0,2026,11
Maruti Suzuki,Alto K10,8.0,168500,Manual,first,Petrol,35.74814689185664,21062.0,2026,11
Mercedes-Benz,M-Class,9.0,75000,Automatic,first,Diesel,35.816284955916885,8333.0,2026,11
Honda,Brio,10.0,32001,Manual,second,Petrol,35.87848849123604,3200.0,2026,11
Maruti Suzuki,Swift-Dzire,0.0,22000,Manual,first,Petrol,35.81454540915233,9622.0,2026,10
Hyundai,I20,14.0,45000,Manual,second,Petrol,35.74989937059981,3214.0,2026,11
Toyota,Fortuner,3.0,60000,Automatic,first,Petrol,35.816284955916885,20000.0,2026,9
Kia,Seltos,3.0,41000,Automatic,first,Petrol,35.81454540918183,13667.0,2026,10
Volkswagen,Polo,9.0,51000,Manual,second,Petrol,38.117177678524456,5667.0,2026,11
Toyota,Glanza,3.0,28000,Automatic,second,Petrol,35.87680774206788,9333.0,2026,11
BMW,5 Series,5.0,38000,Automatic,first,Diesel,35.816284955916885,7600.0,2026,11
Skoda,Rapid,5.0,64800,Automatic,first,Diesel,35.81628368486083,12960.0,2026,11
Jeep,Compass,2.0,17300,Automatic,first,Petrol,35.8145454469904,8650.0,2026,10
Volkswagen,Ventotest,11.0,38000,Manual,first,Petrol,38.11713050214635,3455.0,2026,11
Honda,City,13.0,95000,Automatic,second,Petrol,35.81268824656323,7308.0,2026,11
Honda,Brio,12.0,72000,Manual,first,Petrol,38.11886877881816,6000.0,2026,11
Maruti Suzuki,Ertiga,8.0,135000,Manual,second,Diesel,38.11717903742631,16875.0,2026,11
Toyota,Etios,12.0,135000,Manual,second,Diesel,35.87848845788742,11250.0,2026,11
Volkswagen,Ventotest,5.0,160000,Manual,first,Diesel,38.117179071924355,25624.5,2026,11
Tata,Harrier,2.0,14000,Automatic,first,Diesel,35.81459394346903,7000.0,2026,10
Kia,Seltos,4.0,50200,Automatic,first,Petrol,35.81628495594211,12550.0,2026,11
Maruti Suzuki,Alto-800,10.0,47000,Manual,first,Petrol,35.816283684832335,4700.0,2026,11
Audi,A3,9.0,42000,Automatic,second,Diesel,35.81628372034903,4667.0,2026,11
Honda,City,13.0,59600,Manual,second,Petrol,33.51369859078033,4585.0,2026,11
Maruti Suzuki,Ritz,14.0,8000,Automatic,second,Petrol,35.878488458816335,571.0,2026,11
Maruti Suzuki,Wagon-R,1.0,30000,Manual,first,Petrol,35.878488457861444,25624.5,2026,11
Renault,Kwid,7.0,54000,Automatic,second,Petrol,35.878489618867185,7714.0,2026,11
Maruti Suzuki,Omni,17.5,80000,Manual,second,Petrol,35.74809374186009,4571.0,2026,11
Chevrolet,Cruze,13.0,100000,Automatic,second,Diesel,35.87848849123604,7692.0,2026,11
Mahindra,Xuv500,7.0,48000,Automatic,first,Diesel,38.11886877782721,6857.0,2026,11
Hyundai,Verna,11.0,150000,Automatic,second,Diesel,38.05067879318022,13636.0,2026,11
Hyundai,Creta,8.0,63000,Manual,second,Petrol,35.87685510347305,7875.0,2026,11
Toyota,Fortuner,10.0,168500,Automatic,second,Diesel,35.81628368483316,16850.0,2026,11
Honda,City,6.0,168500,Manual,first,Petrol,38.117179071924355,25624.5,2026,11
Honda,Amaze,3.0,56001,Automatic,first,Diesel,35.81628372034975,18667.0,2026,11
Toyota,Innova Crysta,7.0,25000,Manual,first,Diesel,35.87510877027615,3571.0,2026,11
Honda,Jazz,9.0,68001,Manual,second,Petrol,35.81454544699122,7556.0,2026,10
Renault,Scala,11.0,72000,Manual,first,Diesel,35.8126882881711,6545.0,2026,11
BMW,3 Series Gt,5.0,50000,Automatic,second,Diesel,35.816284955916885,10000.0,2026,11
Honda,City,8.0,95000,Manual,second,Petrol,35.81454540918183,11875.0,2026,11
Maruti Suzuki,S-Presso,3.0,39000,Automatic,first,Petrol,35.81454541020884,13000.0,2026,11
Mahindra,Xuv500,11.0,60000,Manual,second,Diesel,38.117179071924355,5455.0,2026,11
Hyundai,Tucson,7.0,72315,Automatic,second,Diesel,35.74809370139164,10331.0,2026,11
Hyundai,Verna,10.0,82000,Automatic,second,Petrol,38.11702303029633,8200.0,2026,11
Toyota,Camry,9.0,68000,Automatic,second,Petrol,33.44551005772415,7556.0,2026,11
Maruti Suzuki,Alto,5.0,85000,Automatic,second,Petrol,35.81268824656323,17000.0,2026,11
Hyundai,Santa Fe,8.0,64000,Automatic,first,Diesel,35.816282326780055,8000.0,2026,11
Hyundai,Xcent,8.0,68500,Manual,second,Petrol,35.87685510245005,8562.0,2026,11
Maruti Suzuki,Dzire,2.0,168500,Automatic,first,Petrol,35.816327972322895,25624.5,2026,11
Maruti Suzuki,Swift,5.0,168500,Manual,first,Petrol,35.81449359337205,25624.5,2026,11
MG,Astor,2.0,32000,Automatic,first,Petrol,38.1810723103857,16000.0,2026,10
Audi,Q7,10.0,45000,Automatic,second,Diesel,35.814546764334885,4500.0,2026,11
Volkswagen,Ventotest,8.0,130000,Automatic,second,Petrol,35.87685510248042,16250.0,2026,10
Mercedes-Benz,Gle Coupe,3.0,32000,Automatic,second,Petrol,35.816284955916885,10667.0,2026,10
Maruti Suzuki,Alto-800,5.0,69000,Manual,first,Petrol,35.81628368579639,13800.0,2026,11
Toyota,Innova Crysta,7.0,112000,Automatic,first,Diesel,35.81459521453014,16000.0,2026,10
Mini,Cooper 5 Door,10.0,32000,Automatic,second,Diesel,38.117178998547004,3200.0,2026,10
Renault,Kwid,7.0,168500,Automatic,first,Petrol,35.74809374183052,24071.0,2026,11
Volkswagen,Ventotest,6.0,70673,Automatic,first,Diesel,35.814546765298125,11779.0,2026,11
Maruti Suzuki,Baleno,6.0,39848,Manual,first,Petrol,35.81628368486083,6641.0,2026,11
Audi,Q3,8.0,77000,Automatic,first,Diesel,33.51196031721554,9625.0,2026,11
Maruti Suzuki,Alto,16.0,111400,Manual,second,Petrol,35.74989937059981,6962.0,2026,11
Toyota,Fortuner,7.0,30000,Automatic,second,Diesel,35.816284955916885,4286.0,2026,11
Skoda,Rapid,9.0,82000,Automatic,second,Diesel,33.57431433499658,9111.0,2026,11
Maruti Suzuki,Swift-Dzire,11.0,89000,Manual,second,Diesel,35.87680492312099,8091.0,2026,11
Toyota,Fortuner,9.0,168500,Automatic,first,Diesel,35.814592585530434,18722.0,2026,11
Tata,Hexa,7.0,65110,Manual,first,Diesel,38.117179071924355,9301.0,2026,11
Hyundai,Creta Facelift,2.0,25000,Manual,first,Petrol,38.11713053895461,12500.0,2026,9
BMW,7 Series,10.0,115000,Automatic,first,Diesel,33.51196031721554,11500.0,2026,10
Honda,Jazz,9.0,64000,Manual,first,Petrol,35.814546764334864,7111.0,2026,10
