Age,kmDriven,AskPrice,km_per_year,post_year,post_month,Transmission_Manual,Owner_second,FuelType_Hybrid/CNG,FuelType_Petrol,Brand_encoded,model_encoded
9.0,75000,3.607,8333.0,2026,11,1,0,0,0,36.018,36.128
12.0,80000,3.607,6667.0,2026,11,1,1,0,0,36.188,36.12
8.0,50000,3.607,6250.0,2026,9,1,0,0,1,36.018,36.065
2.0,40000,3.605,20000.0,2026,11,0,1,0,1,36.199,36.169
11.0,87000,3.605,7909.0,2026,10,1,0,0,0,36.018,36.19
9.0,155000,3.607,17222.0,2026,11,1,1,0,0,36.539,36.113
10.0,80000,3.607,8000.0,2026,11,1,1,0,0,36.188,36.256
10.0,84000,3.605,8400.0,2026,10,1,1,0,1,36.018,36.065
3.0,18000,3.607,6000.0,2026,11,0,0,0,1,36.188,36.12
7.0,47000,3.607,6714.0,2026,10,0,0,0,1,36.018,36.025
13.0,168500,3.607,12962.0,2026,11,1,0,0,0,36.188,36.333
13.0,82000,3.667,6308.0,2026,11,1,0,0,1,36.018,36.146
9.0,35000,3.607,3889.0,2026,11,0,0,0,1,36.018,35.745
9.0,150000,3.607,16667.0,2026,11,0,1,0,0,36.001,35.991
12.0,132000,3.607,11000.0,2026,10,1,0,0,0,36.539,36.976
7.0,130000,3.668,18571.0,2026,11,0,1,0,1,37.335,36.991
4.0,59000,3.607,14750.0,2026,11,0,0,0,1,36.018,36.128
6.0,95000,3.607,15833.0,2026,11,0,1,0,1,36.199,36.169
8.0,115000,3.667,14375.0,2026,11,1,1,0,0,36.199,36.501
2.0,110000,3.607,25624.5,2026,11,1,0,0,0,36.134,35.877
9.0,68000,3.607,7556.0,2026,11,0,1,0,1,36.539,36.809
3.0,74000,3.607,24667.0,2026,11,0,0,0,1,36.099,35.463
12.0,88000,3.605,7333.0,2026,11,1,0,0,1,36.018,36.19
10.0,47000,3.542,4700.0,2026,11,0,1,0,1,35.975,35.683
9.0,16,3.667,2.0,2026,11,1,0,0,0,36.134,36.116
12.0,68000,3.667,5667.0,2026,11,1,0,0,1,36.022,36.269
17.0,115000,3.605,6765.0,2026,10,1,1,0,1,36.022,35.835
13.0,50000,3.607,3846.0,2026,11,1,1,0,1,35.975,35.934
7.0,98000,3.607,14000.0,2026,11,1,0,0,0,36.022,36.013
5.0,62000,3.668,12400.0,2026,11,0,0,0,0,37.335,37.689
